Geo Location,Facility,Address,Neighborhood,RC,PA,SP,HC,TC,BC,BF,,,
East,Wightman Playground,Wightman & Solway Streets,Squirrel Hill North,,X,,,,X,X,,,
West,Alton Playground,Bayonne & Andick Streets,Beechview,,X,,,,X,X,,,
West,Banksville Park,1461 Crane Avenue 15220,Banksville,,X,X,X,X,X,X,,,
West,Beechview Monument,Broadway Avenue & Bensoma Street,Beechview,,,,,,,,,,
West,Chartiers Playground,Chartiers Avenue & Middletown Road,Windgap,,X,,,X,,X,,,
West,Crafton Heights Tot Lot,Preston & Crotzer Streets,Westwood,,X,,,,,,,,
West,Dunbar Playground,1200 block Clairhaven Street,Crafton Heights,,X,,,,X,X,,,
West,East Carnegie Parklet,Doolittle & Alter Streets,East Carnegie,,X,,,X,X,,,,
West,Esplen Tot Lot,Esplen Street,Esplen,,X,,,,,,,,
West,Fairywood Playground,Broadhead Fording & Village Roads,Fairywood,,X,,,,X,,,,
West,Herschel Playground,Herschel Street off Steuben Street,Elliott,,X,,X,,X,X,,,
West,McGonigle Playground,3500 Block of Allendale Street,Sheraden,,X,,,,X,X,,,
West,Mutual Parklet,Mutual & Fadette Streets,Sheraden,,X,,,,X,,,,
West,Oakwood Playground,Craftmont & Durbin Streets,Mount Washington,,X,,X,X,X,X,,,
West,Pauline Parklet,Pauline Avenue @ Pauling Place,Beechview,,X,,,,X,,,,
West,Sheraden Park,Thorton & Adon Streets,Sheraden,,X,,,X,X,X,,,
West,Sheraden Senior Citizens,720 Sherwood Avenue 15204,Sheraden,X,,,,,,,,,
West,Stratmore Parklet,Stratmore & Elmont Streets,Crafton Heights,,X,,,X,X,,,,
West,Townsend Parklet,Chartiers Avenue & Ernie Street,Elliott,,X,,,,X,,,,
West,Wabash Playground,Wabash Avenue & Main Street,West End,,X,,,,X,X,,,
West,West End Park,Noblestown Road & Walbridge Street,Elliott,,X,,,,X,,,,
West,West End Elliott Overlook,Rue Grande Vue,Crafton Heights,,,,,,,,,,
West,Westwood School,Guyland Street off Noblestown Road,Westwood,,X,X,,,,X,,,
