INSERT INTO locations(lat, lon, site_name,
    address,
    lat numeric, -- e..g -128.455
    lon numeric,
    user_type integer, --1 = youth, 2 = senior
    begin_date  date,
    end_date    date,
    bkfst_portions  integer ,
    lunch_portions integer,
    snack_portions integer,
    hot boolean, --#if not, then cold.
    ovens boolean,
    neigborhood varchar(255),
    coolers boolean,
    days
    latitude,longitude,Site #,Site Name,Address,Begin Date,End Date,B,L,S,Hot/Cold,Ovens,Coolers,Days,Original Order
40.411944,-79.989851,381,YMCA Hilltop Center,500 Brownsville Road,6/16,8/15,25, ,25,Cold,no,yes,M-F,52
40.455584,-80.007871,383,Salvation Army- Northside,100 W North Avenue,6/16,8/15,25,25,,Hot,no,yes,M-F,53
40.47048,-79.9381,2429,Garfield Commons,"242 Fern Street, 15224",6/16,8/15,25,25,,Hot ,yes,yes,M-Th,54
40.457402,-79.897643,16,Homewood Renaissance Assoc.,7130 Frankstown Avenue,6/23,8/8,40,40,,Hot,no,yes,M-F,55
40.461863,-79.908342,23,Sixth Mt. Zion Church,6556 Shetland Avenue,6/23,8/8,25,25,,Hot,no,no,M-F,56
40.414227,-80.003859,27,Elderado Center,900 Delmont Street,6/23,8/15,200,75,,Hot,yes,yes,M-F,57
40.455311,-79.88355,40,Salvation Army- Homewood,8020 Frankstown Avenue,6/23,6/27,,30,,Cold,yes,yes,M-F,58
40.451148,-79.957081,120,Grace Memorial Church,1000 Bryn Mawr Road,6/23,8/8,,100,100,Hot ,no,no,M-F,59
40.470955,-79.932779,139,Valley View Presbyterian,604 N. Aiken Avenue,6/23,7/24,30,30,,Hot,no,no,M-Th,60
40.455814,-79.898341,251,Community Empowerment,"7120 Kelly Street, 15208",6/23,8/15,75,75,,Hot,yes,yes,M-F,61
40.483993,-80.035746,371,Project Destiny,3737 Brighton Road,6/23,8/1,35,35,,Hot,no,no,M-F,63
40.449587,-79.97229,380,Good Samartian Baptist Church,2500 Webster Avenue,6/23,8/15,,25,25,Hot ,yes,yes,M-F,64
40.46114,-80.027841,382,Project Destiny 2,2200 California Avenue,6/23,8/1,,25,,Cold ,no,yes,M-F,65
40.450978,-80.078891,64,Salvation Army- Westside,1821 Broadhead Road,6/30,8/15,25,25,,Hot,no,no,M-F,66
40.479197,-79.999483,84,Bethany House Ministry,1500 Chicago Street,6/30,8/7,25,25,,Hot,yes,yes,M-Th,67
40.465907,-79.939892,107,Morningside C.O.G.I.C.,5173 Dearborn Street,6/30,8/8,25,25,,Cold,no,yes,M-F,68
40.479197,-79.999483,116,Bethany Baptist Church,7745 Tioga Street,6/30,8/7,,25,25,Hot,no,no,M-Th,69
40.410428,-79.974832,205,Lighthouse Church ,810 Fisher Street,6/30,8/8,25,25,,Hot,yes ,yes ,M-F,70
40.447535,-79.967331,124,Wesley Center,2701 Centre Avenue,7/1,8/7,60,60,,Hot ,no,yes ,M-Th,71
40.455311,-79.88355,40,Salvation Army- Homewood,8020 Frankstown Avenue,7/7,8/15,40,40,,Hot ,yes ,yes ,M-F,72
40.468454,-79.936908,156,Brothers & Sisters Emerging,"5315 Hillcrest Street, 15224",7/7,8/8,,25,25,Cold,no,no,M-F,73
40.44983,-80.013162,355,Junior Police Academy,808 Ridge Avenue/ CCAC Alleg.,7/14,7/17,55,55,,Hot ,no,no,M-Th,74
40.443134,-79.961359,379,AP Summer Academy @ CMU,"Scaife Hall
Frew Street & Schenly Drive",7/14,8/1,75,75,,Cold ,no ,yes,M-F,75
40.431849,-79.946207,355,Junior Police Academy,Schenley Park Ice Rink,7/28,7/31,55,55,,Hot,no,no,M-Th,76
40.462645,-79.966,349,Trinity Baptist Church,2415 Ligonier Street,8/11,8/15,25,25,,Hot,no,no,M-F,77
